File	Lemma	Sense_Id	ExampLineNo	Annotator1	WNOffset1	POS1	Annotator2	WNOffset2	POS2	FinalWNOffset
0005-ai.xml	爱	1	8	9	01779085	v	7	01779085	v	01779085
0005-ai.xml	爱	1	9	7	01779085	v	9	01779085	v	01779085
0005-ai.xml	爱	2	22	9	01779085	v	4	01832678	v	01779085
0005-ai.xml	爱	2	23	9	01781131	v	5	01832678	v	01781131
0005-ai.xml	爱	3	37	8	07558676	n	13	07558676	n	07558676
0005-ai.xml	爱	3	38	4	07558676	n	13	07558676	n	07558676
0005-ai.xml	爱	4	51	5	01779085	v	10	01779085	v	01779085
0005-ai.xml	爱	4	52	5	01832678	v	10	01779085	v	01779085
0005-ai.xml	爱	4	53	5	01832678	v	9	01779085	v	01779085
0005-ai.xml	爱	5	66	13	01828678	v	8	01832678	v	01828678
0013-an-pai.xml	安排	1	8	9	01466592	v	8	01651668	v	01651668
0013-an-pai.xml	安排	2	21	10	05803052	n	4	01651668	v	01651668
0013-an-pai.xml	安排	3	35	8	01023638	v	10	01023638	v	01023638
0013-an-pai.xml	安排	3	36	13	01023638	v	5	01466592	v	01023638
0013-an-pai.xml	安排	4	49	4	01023638	v	13	00737576	v	00737576
0013-an-pai.xml	安排	5	62	9	01466592	v	5	02397904	v	02397904
0013-an-pai.xml	安排	6	75	9	01466592	v	5	02397904	v	02397904
0033-bai.xml	摆	1	8	10	01496967	v	7	00408773	v	01496967
0033-bai.xml	摆	1	9	4	00558293	v	11	02431950	v	02431950
0033-bai.xml	摆	3	35	7	02519853	v	9	02441196	v	02441196
0038-bai-tuo.xml	摆脱	1	8	5	02228837	v	13	02355171	v	02228837
0038-bai-tuo.xml	摆脱	1	9	10	02355171	v	4	02355171	v	02355171
0038-bai-tuo.xml	摆脱	2	22	11	01588680	v	8	02635337	v	01588680
0038-bai-tuo.xml	摆脱	2	23	9	02228837	v	5	02077473	v	02228837
0045-bai.xml	拜	1	8	13	02619310	v	4	02619310	v	02619310
0045-bai.xml	拜	2	21	11	00893836	v	8	00173133	adj	00173133
0045-bai.xml	拜	2	22	13	02737689	v	5	01211287	n	02737689
0045-bai.xml	拜	3	35	10	01782907	v	7	00594278	v	00594278
0074-bang.xml	帮	1	8	4	02553283	v	10	02553283	v	02553283
0074-bang.xml	帮	1	9	11	02553283	v	5	02204104	v	02553283
0076-bang-zhu.xml	帮助	1	8	5	02553283	v	11	02553283	v	02553283
0076-bang-zhu.xml	帮助	1	9	11	02561142	v	4	02553283	v	02553283
0076-bang-zhu.xml	帮助	1	10	9	02553283	v	4	02553283	v	02553283
0076-bang-zhu.xml	帮助	2	23	7	05162155	n	11	01210099	n	05162155
0078-bao.xml	包	1	8	4	01285811	v	13	01487510	v	01285811
0078-bao.xml	包	2	21	11	00890307	v	7	02733758	v	02733758
0078-bao.xml	包	2	22	11	02223876	v	8	02207950	v	02223876
0078-bao.xml	包	4	48	11	00892111	v	4	00892111	v	00892111
0078-bao.xml	包	5	61	8	02776042	n	9	02777635	n	02777635
0078-bao.xml	包	6	74	9	02776042	n	4	02776042	n	02776042
0078-bao.xml	包	7	87	4	03876224	n	10	03876224	n	03876224
0087-bao.xml	保	1	8	13	01132302	v	8	01132302	v	01132302
0087-bao.xml	保	2	21	9	01130619	v	4	02284977	v	02284977
0088-bao-chi.xml	保持	1	8	11	02690747	v	4	00117793	v	02690747
0088-bao-chi.xml	保持	1	9	11	02687605	v	8	02687605	v	02687605
0088-bao-chi.xml	保持	1	10	5	02710788	v	11	02687605	v	02687605
0088-bao-chi.xml	保持	2	23	11	02690747	v	5	02687605	v	02690747
0088-bao-chi.xml	保持	3	36	13	02687605	v	5	02687605	v	02687605
0088-bao-chi.xml	保持	3	37	8	02687605	v	10	02687605	v	02687605
0088-bao-chi.xml	保持	3	38	4	02687605	v	9	02687605	v	02687605
0088-bao-chi.xml	保持	4	51	11	02690747	v	5	02687605	v	02690747
0088-bao-chi.xml	保持	5	64	7	02687605	v	10	02687605	v	02687605
0093-bao-liu.xml	保留	1	8	5	02415305	v	13	02685709	v	02415305
0093-bao-liu.xml	保留	2	22	7	02219267	v	11	02207166	v	02207166
0093-bao-liu.xml	保留	3	35	7	01919581	adj	11	01994423	adj	01994423
0093-bao-liu.xml	保留	4	48	10	02219267	v	5	00726112	v	00726112
0093-bao-liu.xml	保留	4	49	8	00726112	v	10	00726112	v	00726112
0093-bao-liu.xml	保留	5	62	11	05706585	n	5	05706585	n	05706585
0093-bao-liu.xml	保留	5	63	4	08604729	n	10	06775091	n	06775091
0093-bao-liu.xml	保留	5	64	11	05706585	n	5	04659795	n	05706585
0103-bao.xml	抱	1	8	7	02208144	v	9	02687605	v	02208144
0103-bao.xml	抱	1	9	5	02153034	v	11	01777051	v	01777051
0103-bao.xml	抱	2	22	7	01427110	v	13	01219234	v	01427110
0128-bei.xml	背	1	8	5	02581157	v	13	01452567	v	02581157
0128-bei.xml	背	3	34	9	00605971	v	4	00605971	v	00605971
0128-bei.xml	背	4	47	9	05566350	v	7	05566350	v	05566350
0128-bei.xml	背	4	48	4	00047462	v	10	02722977	v	00047462
0128-bei.xml	背	5	61	8	01220648	v	10	01220648	v	01220648
0128-bei.xml	背	5	62	10	01220648	v	7	01241618	v	01220648
0128-bei.xml	背	6	75	4	05566350	n	9	05566350	n	05566350
